Id,Label,timeset,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,modularity_class,indegree,outdegree,degree
323,drakeo the ruler,,,,,,,,,,,,,,,,,2,25,23,48
324,arizona zervas,,,,,,,,,,,,,,,,,2,8,14,22
325,fetty wap,,,,,,,,,,,,,,,,,2,64,9,73
326,machine gun kelly,,,,,,,,,,,,,,,,,2,90,20,110
327,dababy,,yeah,nigga,know,ain't,fuck,bitch,girl,go,got,popping,niggas,wait,ho,want,put,2,232,33,265
328,iann dior,,,,,,,,,,,,,,,,,2,67,39,106
329,yungblud,,,,,,,,,,,,,,,,,2,49,10,59
330,jack harlow,,ain't,know,got,shit,now,used,tell,enough,time,oh,fuck,back,make,say,really,2,190,47,237
331,lil tjay,,,,,,,,,,,,,,,,,2,66,26,92
332,lil tecca,,,,,,,,,,,,,,,,,2,120,18,138
333,2baba,,,,,,,,,,,,,,,,,6,16,10,26
334,sway,,,,,,,,,,,,,,,,,28,17,16,33
335,sound sultan,,,,,,,,,,,,,,,,,6,13,16,29
336,falz,,,,,,,,,,,,,,,,,6,35,19,54
337,ice prince,,,,,,,,,,,,,,,,,6,29,21,50
338,burna boy,,dey,o,kilome,mi,go,know,won,oh,money,body,le,say,boy,call,make,2,149,19,168
339,naeto c,,,,,,,,,,,,,,,,,6,6,36,42
340,olamide,,,,,,,,,,,,,,,,,6,45,12,57
341,sarkodie,,,,,,,,,,,,,,,,,6,31,25,56
342,2mex,,,,,,,,,,,,,,,,,29,39,33,72
343,myka 9,,,,,,,,,,,,,,,,,29,49,32,81
344,slug,,,,,,,,,,,,,,,,,29,54,1,55
345,ceschi,,,,,,,,,,,,,,,,,29,35,24,59
346,guilty simpson,,,,,,,,,,,,,,,,,29,119,23,142
347,rjd2,,,,,,,,,,,,,,,,,29,13,7,20
348,ras kass,,got,make,ghetto,fabulous,buckle,go,fuck,better,now,never,yo,ain't,know,nigga,money,29,183,39,222
349,big daddy kane,,another,'cause,say,victory,make,now,daddy,big,lover,man,rhymes,back,want,stop,might,28,139,155,294
350,radioinactive,,,,,,,,,,,,,,,,,29,13,28,41
351,murs,,day,another,tryin',keep,one,beadie,now,midcity,know,without,tomorrow,lit,thinkin',quit,thought,29,114,34,148
352,o.c.,,,,,,,,,,,,,,,,,29,72,63,135
353,bigg jus,,,,,,,,,,,,,,,,,29,5,14,19
354,posdnuos,,,,,,,,,,,,,,,,,29,19,90,109
355,dj hoppa,,,,,,,,,,,,,,,,,29,16,23,39
356,phora,,,,,,,,,,,,,,,,,2,24,10,34
357,vast aire,,,,,,,,,,,,,,,,,29,48,50,98
358,awol one,,,,,,,,,,,,,,,,,29,45,32,77
359,sole,,,,,,,,,,,,,,,,,29,31,0,31
360,circus,,,,,,,,,,,,,,,,,29,8,0,8
361,abstract rude,,,,,,,,,,,,,,,,,29,45,32,77
362,mickey avalon,,,,,,,,,,,,,,,,,29,5,12,17
363,sadat x,,new,imagine,york,ya,eyes,close,got,niggas,man,yeah,walk,talk,money,ain't,now,29,162,37,199
364,oh no,,,,,,,,,,,,,,,,,29,50,72,122
365,percee p,,,,,,,,,,,,,,,,,29,40,89,129
366,prince po,,,,,,,,,,,,,,,,,29,54,5,59
367,krs-one,,fall,dont,see,know,never,want,now,go,time,came,show,got,ain't,meduneter,back,29,176,31,207
368,sir michael rocks,,,,,,,,,,,,,,,,,29,18,23,41
369,busdriver,,,,,,,,,,,,,,,,,29,38,39,77
370,sunspot jonz,,,,,,,,,,,,,,,,,29,24,52,76
371,3-2,,,,,,,,,,,,,,,,,28,4,29,33
372,mc breed,,,,,,,,,,,,,,,,,72,16,41,57
373,pimp c,,,,,,,,,,,,,,,,,28,58,63,121
374,j-roc,,,,,,,,,,,,,,,,,2,6,165,171
375,bun b,,,,,,,,,,,,,,,,,28,248,28,276
376,big pokey,,,,,,,,,,,,,,,,,28,34,95,129
377,big mike,,,,,,,,,,,,,,,,,72,30,12,42
378,fat pat,,,,,,,,,,,,,,,,,28,15,48,63
379,dj screw,,,,,,,,,,,,,,,,,28,14,26,40
380,paul wall,,one,five,another,got,know,'nother,bitch,talkin',fuck,ride,ain't,sayin',bread,game,goals,28,193,72,265
381,willie d,,,,,,,,,,,,,,,,,72,15,89,104
382,kirko bangz,,,,,,,,,,,,,,,,,28,83,22,105
383,z-ro,,,,,,,,,,,,,,,,,28,53,18,71
384,peaches,,,,,,,,,,,,,,,,,28,24,5,29
385,quest,,,,,,,,,,,,,,,,,28,6,72,78
386,los,,,,,,,,,,,,,,,,,13,28,0,28
387,trae tha truth,,swang,dip,ain't,niggas,know,got,fuck,shit,left,still,nigga,trunk,back,poppop,now,72,123,79,202
388,big mello,,,,,,,,,,,,,,,,,28,7,26,33
389,c-note,,,,,,,,,,,,,,,,,28,21,42,63
390,e.s.g.,,,,,,,,,,,,,,,,,28,21,16,37
391,lil' keke,,,,,,,,,,,,,,,,,28,6,32,38
392,lil' o,,,,,,,,,,,,,,,,,28,35,12,47
393,slim thug,,,,,,,,,,,,,,,,,28,106,33,139
394,big moe,,,,,,,,,,,,,,,,,28,29,55,84
395,doughbeezy,,,,,,,,,,,,,,,,,28,6,21,27
396,mike d,,,,,,,,,,,,,,,,,28,27,12,39
397,magic,,,,,,,,,,,,,,,,,5,37,15,52
398,30 roc,,,,,,,,,,,,,,,,,2,0,1,1
399,347aidan,,,,,,,,,,,,,,,,,2,2,2,4
400,sleepy hallow,,,,,,,,,,,,,,,,,2,13,23,36
401,360,,,,,,,,,,,,,,,,,1,0,0,0
402,38 spesh,,,,,,,,,,,,,,,,,29,30,32,62
403,harry fraud,,,,,,,,,,,,,,,,,29,42,46,88
404,fred the godson,,,,,,,,,,,,,,,,,29,74,21,95
405,n.o.r.e.,,lehgo,maiz,que,big,got,chain,let,feel,mas,great,nore,know,alone,go,yo,29,139,56,195
406,grafh,,,,,,,,,,,,,,,,,29,49,20,69
407,boldy james,,,,,,,,,,,,,,,,,29,61,21,82
408,bodega bamz,,,,,,,,,,,,,,,,,29,49,73,122
409,vado,,,,,,,,,,,,,,,,,29,65,29,94
410,meyhem lauren,,,,,,,,,,,,,,,,,29,48,49,97
411,az,,,,,,,,,,,,,,,,,29,129,2,131
412,dave east,,got,know,now,feel,niggas,right,ain't,nigga,block,think,shit,trouble,real,feds,never,29,129,50,179
413,young scooter,,,,,,,,,,,,,,,,,2,59,35,94
414,uncle murda,,,,,,,,,,,,,,,,,29,74,23,97
415,ampichino,,,,,,,,,,,,,,,,,72,35,23,58
416,conway the machine,,,,,,,,,,,,,,,,,29,112,34,146
417,nature,,,,,,,,,,,,,,,,,29,77,0,77
418,giggs,,,,,,,,,,,,,,,,,2,53,32,85
419,cormega,,niggas,nigga,know,ain't,got,might,life,son,keep,people,hard,never,will,man,let,29,67,130,197
420,benny the butcher,,niggas,nigga,shit,know,got,famous,cocaine,feel,fuck,wishes,still,never,aint,caviar,dreams,29,128,30,158
421,3d na'tee,,,,,,,,,,,,,,,,,29,33,86,119
422,fredro starr,,,,,,,,,,,,,,,,,29,65,69,134
423,memphis bleek,,y'all,know,keep,chick,2,uhh,1,man,hypnotic,'em,got,ya,yea,hand,ain't,28,52,190,242
424,mac,,,,,,,,,,,,,,,,,28,24,24,48
425,dj kay slay,,dope,boys,straight,block,niggas,make,got,baby,us,gutter,live,know,nigga,leave,ain't,29,52,160,212
426,rah digga,,digga,tight,rah,niggas,shit,got,say,see,y'all,now,check,classic,gonna,yeah,make,29,98,197,295
427,saigon,,go,shit,let,know,oh,ain't,got,head,gotta,gone,now,smart,found,cause,best,29,67,96,163
428,foxx,,,,,,,,,,,,,,,,,28,8,25,33
429,skyzoo,,,,,,,,,,,,,,,,,29,106,36,142
430,grandmaster caz,,oh,yvette,caz,bill,mr,yeah,know,want,said,got,ya,come,'em,now,go,29,31,127,158
431,lord jamar,,god,lord,now,knowledge,jamar,yo,man,life,universal,black,right,will,allah,uh,might,29,48,162,210
432,sauce money,,know,nigga,niggas,love,now,sauce,fuck,see,got,em,shit,wanna,livin',inside,spit,29,48,116,164
433,kidd kidd,,,,,,,,,,,,,,,,,28,15,7,22
434,apollo brown,,,,,,,,,,,,,,,,,29,37,49,86
435,joell ortiz,,,,,,,,,,,,,,,,,29,102,32,134
436,fiend,,,,,,,,,,,,,,,,,28,48,30,78
437,tony yayo,,nigga,got,bitch,cause,high,trippin,ain't,move,hit,niggas,put,ho,shit,say,fuck,29,70,125,195
438,elzhi,,,,,,,,,,,,,,,,,29,55,31,86
439,grand puba,,know,got,baby,name,yeah,around,cause,wanna,ya,go,puba,make,now,shit,try,29,74,164,238
440,havoc,,,,,,,,,,,,,,,,,29,85,19,104
441,tragedy khadafi,,niggas,makes,think,fuck,make,thug,got,guns,yo,calm,us,huh,nigga,music,know,29,115,55,170
442,tek,,,,,,,,,,,,,,,,,29,37,4,41
443,melle mel,,,,,,,,,,,,,,,,,29,24,0,24
444,tracey lee,,,,,,,,,,,,,,,,,29,24,113,137
445,cassidy,,,,,,,,,,,,,,,,,29,73,0,73
446,black rob,,whoa,bring,new,dont,beach,sand,york,niggas,make,got,see,money,shit,hit,y'all,28,113,171,284
447,mc serch,,,,,,,,,,,,,,,,,29,28,116,144
448,e-a-ski,,please,nigga,dont,let,see,niggas,know,life,em,better,im,got,now,keep,make,29,34,151,185
449,ice-t,,,,,,,,,,,,,,,,,28,138,1,139
450,jon connor,,,,,,,,,,,,,,,,,29,58,39,97
451,chris rivers,,,,,,,,,,,,,,,,,29,91,21,112
452,deante' hitchcock,,,,,,,,,,,,,,,,,2,17,24,41
453,the game,,nigga,niggas,fuck,got,know,shit,yeah,back,bitch,ain't,ay,man,homies,run,bout,28,235,90,325
454,consequence,,'em,forget,cause,now,yeah,hood,make,say,money,got,every,go,superstar,con,home,29,42,152,194
455,westside boogie,,,,,,,,,,,,,,,,,2,49,34,83
456,chuck d,,rock,'em,say,got,one,know,call,yo,man,endonesia,see,second,skillaskillz,time,back,29,93,144,237
457,dj paul,,,,,,,,,,,,,,,,,29,65,26,91
458,twista,,put,boy,got,know,niggas,back,shit,kush,body,now,motherfucker,ain't,wanna,cause,diesel,28,202,53,255
459,mc shan,,,,,,,,,,,,,,,,,29,47,0,47
460,young noble,,,,,,,,,,,,,,,,,72,71,43,114
461,phresher,,,,,,,,,,,,,,,,,29,17,16,33
462,gunplay,,,,,,,,,,,,,,,,,29,57,23,80
463,black thought,,one,'em,black,know,ain't,got,yo,keep,niggas,magnificent,back,might,nigga,probably,still,29,118,89,207
464,mistah f.a.b.,,ain't,man,way,put,bet,somethin',got,kids,listening,know,tellin',mama,yeah,hard,'em,72,131,74,205
465,mr. serv-on,,,,,,,,,,,,,,,,,28,19,24,43
466,locksmith,,,,,,,,,,,,,,,,,29,74,18,92
467,coke la rock,,,,,,,,,,,,,,,,,29,21,63,84
468,lil' cease,,wit'cha,yo,got,fuck,uh,know,ya,huh,yeah,cease,love,cause,now,wanna,gon,28,40,218,258
469,drag-on,,niggas,yeah,got,ya,know,nigga,come,fire,y'all,boy,woo,drag,uh,gettin,tonight,29,43,174,217
470,jaydayoungan,,,,,,,,,,,,,,,,,2,6,13,19
471,sticky fingaz,,,,,,,,,,,,,,,,,29,59,27,86
472,treach,,,,,,,,,,,,,,,,,29,52,198,250
473,yukmouth,,nigga,niggas,body,got,full,fuck,wake,aint,tellin,ill,shit,lookin,now,know,bitch,72,113,76,189
474,sheek louch,,got,problem,think,niggas,ain't,nigga,know,yeah,big,now,go,homie,shit,sheek,real,29,93,54,147
475,4th disciple,,,,,,,,,,,,,,,,,29,8,47,55
476,exile,,,,,,,,,,,,,,,,,29,28,1,29
477,scram jones,,,,,,,,,,,,,,,,,29,16,120,136
478,jayo felony,,got,nigga,ain't,shit,loc,now,ya,keep,see,put,back,life,love,fuckin,might,72,80,95,175
479,j. rawls,,,,,,,,,,,,,,,,,29,10,38,48
480,big rube,,,,,,,,,,,,,,,,,29,35,35,70
481,prodigy,,,,,,,,,,,,,,,,,29,120,2,122
482,layzie bone,,,,,,,,,,,,,,,,,72,75,26,101
483,fat joe,,na,joe,fat,now,yeah,know,mind,go,niggas,man,bad,gangsta,fuck,wanna,anything,28,173,62,235
484,coolio,,,,,,,,,,,,,,,,,28,30,5,35
485,kinetic 9,,,,,,,,,,,,,,,,,29,25,27,52
486,chino xl,,yes,every,god,write,y'all,rhyme,closer,ghetto,know,niggas,chino,love,back,got,gettin',29,95,62,157
487,vinnie paz,,ain't,y'all,one,shit,got,yeah,raw,people,war,see,right,whats,man,back,might,29,68,80,148
488,canibus,,,,,,,,,,,,,,,,,29,94,36,130
489,sean price,,niggas,fuck,y'all,stop,p,one,nigga,two,know,sean,ruck,shit,back,ain't,ya,29,131,65,196
490,hell razah,,,,,,,,,,,,,,,,,29,36,54,90
491,shabazz the disciple,,,,,,,,,,,,,,,,,29,27,72,99
492,count bass d,,,,,,,,,,,,,,,,,29,16,0,16
493,kurupt,,nigga,ya,niggas,d,kurupt,got,know,body,fuck,yeah,im,talk,listen,give,krsone,72,177,45,222
494,pacewon,,,,,,,,,,,,,,,,,29,41,30,71
495,bad azz,,,,,,,,,,,,,,,,,72,54,36,90
496,mellow man ace,,,,,,,,,,,,,,,,,28,28,64,92
497,kev brown,,,,,,,,,,,,,,,,,29,21,30,51
498,warren g,,know,yeah,oh,got,ya,love,live,money,stay,make,momma,life,now,g,keep,28,147,152,299
499,cilvaringz,,,,,,,,,,,,,,,,,29,2,15,17
500,the alchemist,,,,,,,,,,,,,,,,,29,88,49,137
501,keith murray,,yeah,fuck,know,uh,got,fire,murray,make,go,shut,shit,roll,ya,ain't,keith,29,84,68,152
502,starang wondah,,,,,,,,,,,,,,,,,29,5,36,41
503,40,,,,,,,,,,,,,,,,,72,3,134,137
504,brotha lynch hung,,,,,,,,,,,,,,,,,72,43,27,70
505,g-eazy,,,,,,,,,,,,,,,,,2,95,31,126
506,shawty lo,,,,,,,,,,,,,,,,,28,24,62,86
507,tee grizzley,,,,,,,,,,,,,,,,,2,63,22,85
508,young dro,,,,,,,,,,,,,,,,,28,54,12,66
509,d-shot,,,,,,,,,,,,,,,,,72,19,2,21
510,katt williams,,,,,,,,,,,,,,,,,72,10,45,55
511,the jacka,,,,,,,,,,,,,,,,,72,60,42,102
512,suga free,,,,,,,,,,,,,,,,,72,65,51,116
513,trinidad james,,,,,,,,,,,,,,,,,2,50,25,75
514,plies,,,,,,,,,,,,,,,,,28,53,30,83
515,skeme,,,,,,,,,,,,,,,,,72,27,19,46
516,adrian marcel,,,,,,,,,,,,,,,,,28,10,81,91
517,t-nutty,,,,,,,,,,,,,,,,,72,27,32,59
518,big k.r.i.t.,,light,cause,need,know,wake,bang,think,cool,ain't,store,neighborhood,man,package,feel,oh,28,124,24,148
519,b.o.b,,dirt,higher,go,now,bob,twerk,got,wanna,man,nigga,see,clouds,ain't,strange,yeah,28,145,33,178
520,marvaless,,,,,,,,,,,,,,,,,72,24,25,49
521,mike jones,,,,,,,,,,,,,,,,,28,87,18,105
522,andre nickatina,,,,,,,,,,,,,,,,,72,20,13,33
523,rod wave,,,,,,,,,,,,,,,,,2,44,10,54
524,b-legit,,,,,,,,,,,,,,,,,72,87,31,118
525,rick rock,,,,,,,,,,,,,,,,,72,11,57,68
526,spice 1,,,,,,,,,,,,,,,,,72,90,49,139
527,larry june,,,,,,,,,,,,,,,,,72,55,18,73
528,schoolboy q,,nigga,uh,yeah,got,bitch,go,time,ayy,ain't,see,might,let,gon',niggas,shit,2,84,89,173
529,battlecat,,,,,,,,,,,,,,,,,72,6,58,64
530,gangsta boo,,,,,,,,,,,,,,,,,28,52,24,76
531,stevie joe,,,,,,,,,,,,,,,,,72,33,23,56
532,droop-e,,,,,,,,,,,,,,,,,72,11,73,84
533,dru down,,,,,,,,,,,,,,,,,72,47,39,86
534,mac mall,,,,,,,,,,,,,,,,,72,49,43,92
535,husalah,,,,,,,,,,,,,,,,,72,37,42,79
536,krizz kaliko,,,,,,,,,,,,,,,,,72,35,23,58
537,tech n9ne,,,,,,,,,,,,,,,,,72,104,39,143
538,ice cube,,got,world,man's,oh,please,nigga,nappy,know,fuck,man,givin',bitch,one,dug,now,28,148,24,172
539,jt the bigga figga,,,,,,,,,,,,,,,,,72,37,48,85
540,messy marv,,,,,,,,,,,,,,,,,72,59,72,131
541,cool nutz,,,,,,,,,,,,,,,,,72,24,29,53
542,pastor troy,,,,,,,,,,,,,,,,,28,51,19,70
543,danny brown,,,,,,,,,,,,,,,,,29,77,32,109
544,webbie,,,,,,,,,,,,,,,,,28,21,39,60
545,j. valentine,,,,,,,,,,,,,,,,,72,9,63,72
546,mc eiht,,,,,,,,,,,,,,,,,72,88,28,116
547,nate dogg,,alone,leave,never,cold,baby,stone,bad,know,got,gotta,days,back,niggas,girls,matter,28,192,109,301
548,j. stalin,,,,,,,,,,,,,,,,,72,48,40,88
549,guapdad 4000,,,,,,,,,,,,,,,,,2,42,22,64
550,rayven justice,,,,,,,,,,,,,,,,,72,34,33,67
551,al kapone,,,,,,,,,,,,,,,,,28,15,44,59
552,dej loaf,,,,,,,,,,,,,,,,,2,47,17,64
553,petey pablo,,,,,,,,,,,,,,,,,28,40,17,57
554,cellski,,,,,,,,,,,,,,,,,72,25,48,73
555,clyde carson,,,,,,,,,,,,,,,,,72,50,72,122
556,gashi,,,,,,,,,,,,,,,,,72,14,5,19
557,sage the gemini,,,,,,,,,,,,,,,,,72,76,11,87
558,keak da sneak,,,,,,,,,,,,,,,,,72,69,28,97
559,jay rock,,back,im,nigga,niggas,got,rotation,flavor,ain't,one,money,hold,make,ohoh,know,lot,2,58,164,222
560,san quinn,,,,,,,,,,,,,,,,,72,88,42,130
561,eric bellinger,,,,,,,,,,,,,,,,,72,62,34,96
562,lil b,,,,,,,,,,,,,,,,,2,70,29,99
563,turf talk,,,,,,,,,,,,,,,,,72,41,39,80
564,a$ap ferg,,,,,,,,,,,,,,,,,2,97,44,141
565,richie rich,,,,,,,,,,,,,,,,,72,55,1,56
566,kent jones,,,,,,,,,,,,,,,,,2,25,46,71
567,mystikal,,nigga,ain't,fuck,shit,throwed,niggas,bitch,big,got,cause,huh,truck,mystikal,back,see,28,75,100,175
568,ya boy,,,,,,,,,,,,,,,,,72,27,0,27
569,celly cel,,,,,,,,,,,,,,,,,72,36,62,98
570,bone crusher,,,,,,,,,,,,,,,,,28,32,81,113
571,philthy rich,,nigga,foreign,bitch,got,another,hop,niggas,ayy,ain't,know,boy,shit,love,i'ma,back,72,59,86,145
572,kokane,,,,,,,,,,,,,,,,,72,105,21,126
573,devin the dude,,,,,,,,,,,,,,,,,72,97,23,120
574,kid ink,,,,,,,,,,,,,,,,,2,40,42,82
575,kool savas,,,,,,,,,,,,,,,,,5,20,18,38
576,khia,,,,,,,,,,,,,,,,,28,16,2,18
577,quazedelic,,,,,,,,,,,,,,,,,72,3,22,25
578,usher,,,,,,,,,,,,,,,,,28,85,24,109
579,ceza,,,,,,,,,,,,,,,,,5,11,19,30
580,goldie loc,,,,,,,,,,,,,,,,,72,30,98,128
581,sir mix-a-lot,,,,,,,,,,,,,,,,,28,21,81,102
582,aaliyah,,,,,,,,,,,,,,,,,28,22,67,89
583,ginuwine,,,,,,,,,,,,,,,,,28,33,26,59
584,sleepy brown,,baby,dance,come,wait,love,one,soul,dem,nights,oooh,know,oh,time,got,ooh,28,37,157,194
585,azad,,,,,,,,,,,,,,,,,5,10,8,18
586,ceelo green,,work,go,super,chicken,now,cry,alright,love,let,one,baby,ooh,bad,got,ain't,28,149,13,162
587,spider loc,,,,,,,,,,,,,,,,,72,22,34,56
588,dr. dre,,,,,,,,,,,,,,,,,28,102,0,102
589,xzibit,,shit,niggas,ain't,got,back,poppin',fuck,now,know,bitch,forever,tell,may,see,eyes,72,138,101,239
590,coi leray,,,,,,,,,,,,,,,,,2,70,21,91
591,fivio foreign,,,,,,,,,,,,,,,,,2,90,28,118
592,est gee,,niggas,ain't,yeah,know,nigga,make,hit,'em,lil',got,still,hoes,never,shit,mama,2,87,71,158
593,rowdy rebel,,,,,,,,,,,,,,,,,2,26,47,73
594,foogiano,,,,,,,,,,,,,,,,,2,36,104,140
595,peewee longway,,,,,,,,,,,,,,,,,2,48,28,76
596,rylo rodriguez,,,,,,,,,,,,,,,,,2,21,11,32
597,blac youngsta,,,,,,,,,,,,,,,,,2,36,32,68
598,big30,,,,,,,,,,,,,,,,,2,32,38,70
599,the 45 king,,,,,,,,,,,,,,,,,29,0,3,3
600,lakim shabazz,,,,,,,,,,,,,,,,,29,3,8,11
601,yz,,,,,,,,,,,,,,,,,29,11,0,11
602,doug e. fresh,,fresh,doug,e,nuthin',say,know,now,way,keep,heaven,got,uh,go,ain't,make,28,36,112,148
603,5ft,,,,,,,,,,,,,,,,,29,0,14,14
604,buckshot,,,,,,,,,,,,,,,,,29,57,1,58
605,lord have mercy,,,,,,,,,,,,,,,,,29,15,86,101
606,del the funky homosapien,,ol',got,thing,niggas,see,y'all,ya,'cause,know,look,ain't,ass,face,will,keep,29,120,101,221
607,top dog,,,,,,,,,,,,,,,,,13,8,8,16
608,shabaam sahdeeq,,,,,,,,,,,,,,,,,29,76,31,107
609,kurious,,,,,,,,,,,,,,,,,29,27,14,41
610,sonny digital,,,,,,,,,,,,,,,,,2,8,6,14
611,r. kelly,,,,,,,,,,,,,,,,,28,89,31,120
612,mase,,yeah,lady,much,know,say,got,go,wanna,ain't,oh,little,mystery,even,woah,gon',28,122,57,179
613,abraham mateo,,,,,,,,,,,,,,,,,5,8,9,17
614,lloyd banks,,never,ain't,shit,nigga,got,know,yeah,dont,gotta,im,now,still,way,let,fall,28,109,132,241
615,jamie foxx,,,,,,,,,,,,,,,,,28,37,24,61
616,grand daddy i.u.,,,,,,,,,,,,,,,,,29,25,94,119
617,masta ace,,got,ta,know,man,lil',young,cause,ay,music,bang,yuh,now,ways,good,little,29,110,40,150
618,islord,,,,,,,,,,,,,,,,,29,6,13,19
619,large professor,,queens,now,ma,dancin',man,girl,ya,one,go,lounge,large,time,got,might,'cause,29,65,141,206
620,copywrite,,,,,,,,,,,,,,,,,29,73,33,106
621,willie the kid,,,,,,,,,,,,,,,,,29,57,20,77
622,stone mecca,,,,,,,,,,,,,,,,,29,4,11,15
623,9th prince,,,,,,,,,,,,,,,,,29,13,41,54
624,stic.man,,,,,,,,,,,,,,,,,29,26,18,44
625,tony touch,,,,,,,,,,,,,,,,,29,41,103,144
626,immortal technique,,one,never,technique,fuck,us,nigga,people,got,'cause,make,god,shit,tell,niggas,immortal,29,46,127,173
627,akinyele,,,,,,,,,,,,,,,,,29,15,93,108
628,jeru the damaja,,got,ya,know,time,now,ghetto,real,ugh,niggas,keep,back,black,slave,will,might,28,67,123,190
629,killa sin,,,,,,,,,,,,,,,,,29,26,74,100
630,ill bill,,,,,,,,,,,,,,,,,29,91,45,136
631,diabolic,,,,,,,,,,,,,,,,,29,29,18,47
632,dom pachino,,,,,,,,,,,,,,,,,29,18,36,54
633,6ix,,yeah,nigga,niggas,want,uh,know,fuck,bitch,shots,ain't,mi,drop,back,money,ah,2,1,174,175
634,partynextdoor,,know,yeah,girl,now,way,oh,never,better,friends,amazed,baby,best,got,love,bein',2,125,99,224
635,snow,,,,,,,,,,,,,,,,,5,46,1,47
636,logic,,atom,god,shit,wanna,ain't,time,now,famous,fuck,money,celebration,people,come,back,know,2,183,34,217
637,yung gravy,,,,,,,,,,,,,,,,,2,59,44,103
638,farid bang,,,,,,,,,,,,,,,,,5,17,24,41
639,erica banks,,bitch,ho,ain't,shit,hoes,got,bet,gon',bad,nigga,fuck,pop,back,want,know,2,81,81,162
640,jazz cartier,,,,,,,,,,,,,,,,,2,24,66,90
641,roscoe dash,,,,,,,,,,,,,,,,,2,44,98,142
642,fredo,,,,,,,,,,,,,,,,,2,32,20,52
643,kehlani,,know,yeah,much,personal,wanna,used,baby,say,deep,water,everything,love,one,dont,ain't,2,151,17,168
644,flo rida,,new,know,yeah,got,love,ready,baby,hangover,hungover,oh,life,wait,finally,go,day,28,156,25,181
645,dj mustard,,,,,,,,,,,,,,,,,2,39,158,197
646,doja cat,,go,yeah,baby,take,trick,mmm,let,know,ooh,town,see,one,ain't,touch,need,2,144,14,158
647,cordae,,shit,nigga,tell,yeah,got,uh,niggas,said,real,time,'em,know,never,always,one,2,96,105,201
648,o.t. genasis,,,,,,,,,,,,,,,,,2,71,14,85
649,6ix9ine,,nigga,throw,fuck,bitch,shit,bust,dick,yeah,give,gang,open,got,bring,back,ain't,2,58,173,231
650,pop smoke,,woo,niggas,gun,better,uh,man,got,brother,yeah,know,fuck,ain't,look,nigga,shit,2,130,37,167
651,russ millions,,,,,,,,,,,,,,,,,2,68,14,82
652,kyle,,,,,,,,,,,,,,,,,2,74,25,99
653,casanova,,,,,,,,,,,,,,,,,2,17,47,64
654,nipsey hussle,,nigga,got,ain't,niggas,shit,now,fuck,bitches,bitch,love,put,gotta,make,money,roll,2,152,40,192
655,cj,,yeah,huh,uh,now,still,money,bitch,baby,one,ayy,wanna,gang,got,never,back,2,82,144,226
656,bugzy malone,,,,,,,,,,,,,,,,,2,42,51,93
657,d4vd,,,,,,,,,,,,,,,,,2,21,14,35
658,tainy,,,,,,,,,,,,,,,,,5,55,47,102
659,yxng bane,,,,,,,,,,,,,,,,,2,82,11,93
660,mariah angeliq,,,,,,,,,,,,,,,,,5,48,7,55
661,chiddy bang,,,,,,,,,,,,,,,,,28,55,2,57
662,plan b,,,,,,,,,,,,,,,,,5,31,28,59
663,9lokknine,,,,,,,,,,,,,,,,,2,8,23,31
664,capo,,,,,,,,,,,,,,,,,5,14,10,24
665,becky g,,,,,,,,,,,,,,,,,5,49,18,67
666,takeoff,,lead,right,now,ghost,wave,i'ma,wraith,'bout,ride,ain't,gotta,got,niggas,way,yeah,2,51,131,182
667,tinie tempah,,,,,,,,,,,,,,,,,2,61,28,89
668,daddy yankee,,,,,,,,,,,,,,,,,5,105,24,129
669,m.i.a.,,,,,,,,,,,,,,,,,28,52,38,90
670,kid buu,,,,,,,,,,,,,,,,,2,7,42,49
671,matt ox,,,,,,,,,,,,,,,,,2,32,5,37
672,nicky jam,,,,,,,,,,,,,,,,,5,67,21,88
673,ozuna,,,,,,,,,,,,,,,,,5,70,23,93
674,no i.d.,,,,,,,,,,,,,,,,,2,7,0,7
675,playboi carti,,yeah,bitch,uh,ooh,hold,got,shit,nigga,lame,fuck,bring,niggas,money,home,slatt,2,110,186,296
676,jay critch,,,,,,,,,,,,,,,,,2,30,12,42
677,a boogie wit da hoodie,,yeah,nigga,know,got,say,ain't,fuck,niggas,now,shit,never,ayy,make,jungle,baby,2,230,34,264
678,lupe fiasco,,,,,,,,,,,,,,,,,28,101,17,118
679,ski mask the slump god,,bitch,ayy,yeah,hot,fucked,hit,gold,pussy,high,yah,know,'cause,yuh,go,give,2,77,87,164
680,sch,,,,,,,,,,,,,,,,,2,29,90,119
681,denzel curry,,catch,'em,nigga,zenith,niggas,now,bitch,see,gon',time,fuck,damn,yo,finish,zel,2,123,33,156
682,tego calder&#243;n,,,,,,,,,,,,,,,,,5,16,41,57
683,bobby shmurda,,,,,,,,,,,,,,,,,2,10,54,64
684,jason derulo,,,,,,,,,,,,,,,,,2,121,10,131
685,masked wolf,,,,,,,,,,,,,,,,,2,62,9,71
686,amin&#233;,,,,,,,,,,,,,,,,,2,94,113,207
687,jid,,nigga,know,shit,niggas,day,yeah,got,ain't,woah,never,man,see,fuck,god,look,2,104,61,165
688,connect-r,,,,,,,,,,,,,,,,,2,19,17,36
689,sheck wes,,bitch,sheck,wes,uh,gang,boy,yeah,go,young,nigga,chippi,fa,fuckin',fuck,ain't,2,47,206,253
